sampleID,sepal_length,sepal_width,petal_length,petal_width,class,FINAL_ID,QC_CALL
F-1825,5.1,3.5,1.4,0.2,Iris-setosa,FINAL-755,PASS
A-4507,4.9,3.0,1.4,0.2,Iris-setosa,FINAL-105,PASS
B-3658,4.7,3.2,1.3,0.2,Iris-setosa,FINAL-693,PASS
B-1680,4.6,3.1,1.5,0.2,Iris-setosa,FINAL-759,PASS
F-8936,5.0,3.6,1.4,0.2,Iris-setosa,FINAL-559,PASS
A-6913,5.4,3.9,1.7,0.4,Iris-setosa,FINAL-090,PASS
A-3583,5.0,3.4,1.5,0.2,Iris-setosa,FINAL-605,PASS
B-8280,4.4,2.9,1.4,0.2,Iris-setosa,FINAL-433,PASS
E-0435,4.9,3.1,1.5,0.1,Iris-setosa,FINAL-033,PASS
E-3258,5.4,3.7,1.5,0.2,Iris-setosa,FINAL-031,PASS
F-8929,4.8,3.4,1.6,0.2,Iris-setosa,FINAL-096,PASS
D-3612,4.8,3.0,1.4,0.1,Iris-setosa,FINAL-224,PASS
D-4558,4.3,3.0,1.1,0.1,Iris-setosa,FINAL-239,PASS
A-2616,5.8,4.0,1.2,0.2,Iris-setosa,FINAL-518,PASS
F-6925,5.7,4.4,1.5,0.4,Iris-setosa,FINAL-617,PASS
C-4553,5.4,3.9,1.3,0.4,Iris-setosa,FINAL-028,PASS
B-3528,5.1,3.5,1.4,0.3,Iris-setosa,FINAL-575,FAIL
C-1675,5.7,3.8,1.7,0.3,Iris-setosa,FINAL-204,PASS
A-6225,5.1,3.8,1.5,0.3,Iris-setosa,FINAL-734,PASS
A-5882,5.4,3.4,1.7,0.2,Iris-setosa,FINAL-666,PASS
C-4334,5.1,3.7,1.5,0.4,Iris-setosa,FINAL-719,PASS
A-7528,4.6,3.6,1.0,0.2,Iris-setosa,FINAL-430,FAIL
E-2046,5.1,3.3,1.7,0.5,Iris-setosa,FINAL-226,PASS
D-1292,4.8,3.4,1.9,0.2,Iris-setosa,FINAL-460,PASS
E-4804,5.0,3.0,1.6,0.2,Iris-setosa,FINAL-604,FAIL
F-5926,5.0,3.4,1.6,0.4,Iris-setosa,FINAL-285,FAIL
E-3151,5.2,3.5,1.5,0.2,Iris-setosa,FINAL-829,PASS
A-3734,4.7,3.2,1.6,0.2,Iris-setosa,FINAL-891,PASS
C-1308,4.8,3.1,1.6,0.2,Iris-setosa,FINAL-007,PASS
B-1655,5.4,3.4,1.5,0.4,Iris-setosa,FINAL-778,PASS
D-4555,5.2,4.1,1.5,0.1,Iris-setosa,FINAL-826,FAIL
D-5978,5.5,4.2,1.4,0.2,Iris-setosa,FINAL-164,PASS
B-6066,4.9,3.1,1.5,0.1,Iris-setosa,FINAL-715,FAIL
F-4375,5.5,3.5,1.3,0.2,Iris-setosa,FINAL-349,PASS
F-1170,4.9,3.1,1.5,0.1,Iris-setosa,FINAL-160,PASS
E-2804,4.4,3.0,1.3,0.2,Iris-setosa,FINAL-221,PASS
E-4011,5.1,3.4,1.5,0.2,Iris-setosa,FINAL-782,FAIL
B-7574,5.0,3.5,1.3,0.3,Iris-setosa,FINAL-345,PASS
D-4423,4.5,2.3,1.3,0.3,Iris-setosa,FINAL-095,PASS
F-3599,4.4,3.2,1.3,0.2,Iris-setosa,FINAL-390,PASS
F-5314,5.0,3.5,1.6,0.6,Iris-setosa,FINAL-100,PASS
A-3753,5.1,3.8,1.9,0.4,Iris-setosa,FINAL-368,PASS
A-5169,4.8,3.0,1.4,0.3,Iris-setosa,FINAL-868,PASS
D-4387,5.1,3.8,1.6,0.2,Iris-setosa,FINAL-353,PASS
A-3457,4.6,3.2,1.4,0.2,Iris-setosa,FINAL-619,PASS
E-5156,5.3,3.7,1.5,0.2,Iris-setosa,FINAL-271,PASS
B-8180,5.0,3.3,1.4,0.2,Iris-setosa,FINAL-827,PASS
D-7518,7.0,3.2,4.7,1.4,Iris-versicolor,FINAL-045,PASS
B-4340,6.4,3.2,4.5,1.5,Iris-versicolor,FINAL-748,PASS
B-4041,6.9,3.1,4.9,1.5,Iris-versicolor,FINAL-471,PASS
F-8831,5.5,2.3,4.0,1.3,Iris-versicolor,FINAL-550,PASS
C-7020,6.5,2.8,4.6,1.5,Iris-versicolor,FINAL-128,PASS
E-6544,5.7,2.8,4.5,1.3,Iris-versicolor,FINAL-388,PASS
C-3594,6.3,3.3,4.7,1.6,Iris-versicolor,FINAL-081,PASS
D-1490,6.6,2.9,4.6,1.3,Iris-versicolor,FINAL-566,PASS
A-1797,5.2,2.7,3.9,1.4,Iris-versicolor,FINAL-301,PASS
B-2622,5.0,2.0,3.5,1.0,Iris-versicolor,FINAL-850,PASS
F-6917,5.9,3.0,4.2,1.5,Iris-versicolor,FINAL-644,PASS
D-6253,6.1,2.9,4.7,1.4,Iris-versicolor,FINAL-634,PASS
E-7669,5.6,2.9,3.6,1.3,Iris-versicolor,FINAL-883,PASS
E-4120,6.7,3.1,4.4,1.4,Iris-versicolor,FINAL-371,PASS
E-0189,5.6,3.0,4.5,1.5,Iris-versicolor,FINAL-592,PASS
F-1877,5.8,2.7,4.1,1.0,Iris-versicolor,FINAL-197,PASS
C-5574,5.6,2.5,3.9,1.1,Iris-versicolor,FINAL-072,PASS
D-2592,6.1,2.8,4.0,1.3,Iris-versicolor,FINAL-047,PASS
D-0054,6.3,2.5,4.9,1.5,Iris-versicolor,FINAL-678,PASS
F-4316,6.1,2.8,4.7,1.2,Iris-versicolor,FINAL-234,PASS
E-2928,6.4,2.9,4.3,1.3,Iris-versicolor,FINAL-792,FAIL
E-1744,6.6,3.0,4.4,1.4,Iris-versicolor,FINAL-297,PASS
F-4890,6.8,2.8,4.8,1.4,Iris-versicolor,FINAL-082,PASS
F-8318,6.7,3.0,5.0,1.7,Iris-versicolor,FINAL-876,PASS
E-3259,6.0,2.9,4.5,1.5,Iris-versicolor,FINAL-888,FAIL
B-6127,5.7,2.6,3.5,1.0,Iris-versicolor,FINAL-104,PASS
B-8838,5.5,2.4,3.8,1.1,Iris-versicolor,FINAL-465,PASS
E-0010,5.5,2.4,3.7,1.0,Iris-versicolor,FINAL-651,PASS
E-5311,5.8,2.7,3.9,1.2,Iris-versicolor,FINAL-855,PASS
D-0320,6.0,2.7,5.1,1.6,Iris-versicolor,FINAL-374,PASS
A-5948,5.4,3.0,4.5,1.5,Iris-versicolor,FINAL-167,FAIL
C-3924,6.0,3.4,4.5,1.6,Iris-versicolor,FINAL-380,PASS
A-3947,6.7,3.1,4.7,1.5,Iris-versicolor,FINAL-364,PASS
E-1291,6.3,2.3,4.4,1.3,Iris-versicolor,FINAL-215,PASS
A-7963,5.6,3.0,4.1,1.3,Iris-versicolor,FINAL-687,PASS
