sampleID,sepal_length,sepal_width,petal_length,petal_width,class
A-9165,5.0,3.4,1.7,0.5,Iris-setosa
D-9564,4.9,3.5,1.2,0.2,Iris-setosa
A-9400,4.9,3.3,1.6,-0.1,Iris-setosa
B-9304,4.5,3.4,1.7,0.4,Iris-setosa
E-9114,6.2,2.9,4.3,1.2,Iris-versicolor
E-9961,6.0,2.7,4.0,1.2,Iris-versicolor
C-9653,5.9,2.8,4.4,1.3,Iris-versicolor
A-9978,5.8,3.0,4.0,1.2,Iris-versicolor
E-9824,6.5,2.8,6.1,2.0,Iris-virginica
F-9974,6.5,3.1,5.7,1.8,Iris-virginica
B-9335,6.5,3.3,5.6,1.8,Iris-virginica
B-9169,6.5,2.9,5.2,2.0,Iris-virginica
