sampleID,sepal_length,sepal_width,petal_length,petal_width,class
B-9058,5.1,3.1,1.5,0.6,Iris-setosa
B-9592,4.9,3.2,1.7,0.2,Iris-setosa
B-9271,4.9,3.3,1.6,0.5,Iris-setosa
A-9075,4.8,3.2,1.5,0.0,Iris-setosa
E-9720,6.2,2.6,4.1,1.4,Iris-versicolor
B-9270,6.3,2.7,4.2,1.1,Iris-versicolor
C-9517,6.1,2.9,4.2,1.4,Iris-versicolor
F-9268,5.6,2.6,4.7,1.4,Iris-versicolor
A-9854,6.3,3.2,5.8,2.1,Iris-virginica
C-9215,6.5,2.7,5.7,2.2,Iris-virginica
B-9885,6.7,2.7,5.9,1.9,Iris-virginica
F-9884,6.6,2.9,5.8,2.1,Iris-virginica
